park_code,park_name,fee_type,cost_usd,description
whis,Whiskeytown National Recreation Area,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. For more information visit https://www.recreation.gov/sitepass/74295."
whis,Whiskeytown National Recreation Area,Entrance - Private Vehicle,25.00,"Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days at Whiskeytown National Recreation Area only. For more information visit https://www.recre"
whsa,White Sands National Park,Entrance - Private Vehicle,25.00,"Per vehicle fee is charged to visitors for entry by a single, private non-commercial vehicle. Entrance fees are valid for reentry for seven consecutive days from the date of purchase."
whsa,White Sands National Park,Entrance - Per Person,15.00,"Per person fee is charged to visitors for entry by means other than a single, private non-commercial vehicle. This includes, but is not limited to, individuals who enter the park by walking and bicycl"
whsa,White Sands National Park,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
whsa,White Sands National Park,Commercial Entrance - Van,50.00,Commercial bus/van tours are charged a flat rate based on the capacity of the vehicle (not the number of persons on board).
whsa,White Sands National Park,Commercial Entrance - Mini-bus,60.00,Commercial bus/van tours are charged a flat rate based on the capacity of the vehicle (not the number of persons on board).
whsa,White Sands National Park,Commercial Entrance - Motor Coach,150.00,Commercial bus/van tours are charged a flat rate based on the capacity of the vehicle (not the number of persons on board).
wrbr,Wright Brothers National Memorial,Entrance - Per Person,10.00,"Fee is charged per-person, NOT per vehicle. Ages 15 and younger are free of charge."
wrbr,Wright Brothers National Memorial,Commercial Entrance - Sedan,25.00,$25 plus $7 per person.  Sedans have a capacity of 1-6 people.
wrbr,Wright Brothers National Memorial,Commercial Entrance - Van,40.00,A flat fee for all Van/ Small Bus with a seating capacity of 7-16 passengers
wrbr,Wright Brothers National Memorial,Commercial Entrance - Mini-bus,40.00,Fee is charged for any commercial vehicle with a capacity of 16-25 individuals.
wrbr,Wright Brothers National Memorial,Commercial Entrance - Motor Coach,100.00,Fees charged for commercial vehicles with a capacity of over 26 individuals.
wrbr,Wright Brothers National Memorial,Entrance - Education/Academic Groups,0.00,Structured educational visits that serve a curriculum need for a class may apply for a waiver for entrance fees in advance.
wupa,Wupatki National Monument,Entrance - Private Vehicle,25.00,This fee covers the occupants of one private vehicle for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,Wupatki National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to both Sunset Crater Volcano and Wupatki National Monuments."
wupa,Wupatki National Monument,Entrance - Per Person,15.00,This fee covers entry for one bicyclist or pedestrian for seven days at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,Wupatki National Monument,Entrance - Non-commercial Groups,15.00,"Non-commercial groups are charged the per-person entrance fee of $15 for all persons 16yrs and over, not to exceed the commercial rate for the size of vehicle entering the monument."
wupa,Wupatki National Monument,Entrance - Education/Academic Groups,0.00,"Educational groups visiting the monument for a curriculum related visit should apply for an Academic Fee Waiver. If no fee waiver is obtained, educational groups will be charged as non-commercial grou"
wupa,Wupatki National Monument,Commercial Entrance - Sedan,28.00,This fee covers the occupants of one commercial sedan for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,Wupatki National Monument,Commercial Entrance - Van,40.00,This fee covers the occupants of one commercial van for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,Wupatki National Monument,Commercial Entrance - Motor Coach,100.00,This fee covers the occupants of one commercial bus for one day at both Sunset Crater Volcano and Wupatki National Monuments.
wupa,Wupatki National Monument,Commercial Entrance - Mini-bus,100.00,https://www.nps.gov/wupa/planyourvisit/fees.htm
yell,Yellowstone National Park,Entrance - Private Vehicle,35.00,"Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. Vehicles must be private, non-commercial, and with a seating capacity of 15 or less."
yell,Yellowstone National Park,Entrance - Non-commercial Groups,20.00,"Non-commercial group (e.g. church groups, scouts) traveling in a vehicle with a capacity of 16 or more people. Cost is per person. Unlimited entry for one vehicle and all passengers for seven consecut"
yell,Yellowstone National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
yell,Yellowstone National Park,Entrance - Snowmobile,30.00,Valid for 7 days. Admits up to 2 snowmobiles with up to 4 total passengers.
yell,Yellowstone National Park,Entrance - Per Person,20.00,"Entry for visitors on foot, bicycle, ski, etc., when 16 years of age or older."
yell,Yellowstone National Park,Commercial Entrance - Sedan,20.00,"A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realize"
yell,Yellowstone National Park,Commercial Entrance - Van,125.00,"Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on"
yell,Yellowstone National Park,Commercial Entrance - Mini-bus,200.00,"Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling o"
yell,Yellowstone National Park,Commercial Entrance - Motor Coach,300.00,"Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons travel"
yell,Yellowstone National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Yellowstone National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beau"
york,Yorktown Battlefield Part of Colonial National Historical Park,Entrance - Per Person,15.00,Adult (16 and older) -$15; good for 7 days entrance to Yorktown Battlefield (and NPS areas at Historic Jamestowne); can be upgraded to see Preservation Virginia areas at Historic Jamestowne for an add
yose,Yosemite National Park,Entrance - Private Vehicle,35.00,"This fee is valid for seven consecutive days for a non-commercial car, pickup truck, RV, or van with 15 or fewer passenger seats. This fee covers the vehicle and everyone inside of it. Per-person nonr"
yose,Yosemite National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Per-person nonresident fees still apply."
yose,Yosemite National Park,Entrance - Per Person,20.00,"This fee is valid for seven consecutive days for people entering on foot, a bicycle, a horse, or a non-commercial bus or van. People 15 years and younger are free."
yose,Yosemite National Park,Entrance - Non-commercial Groups,300.00,The per-person fee is $20 to a maximum of $300 per vehicle. People 15 years and younger are free.
yose,Yosemite National Park,Entrance - Education/Academic Groups,0.00,An educational fee waiver is available for educational and scientific groups that are accredited or tax-exempt for educational purposes planning a trip for educational or scientific purposes related t
yose,Yosemite National Park,Commercial Entrance - Per Person,20.00,The fee is $20 per person for any resident 16 years or older. For any nonresident the fee is $100 per person for anyone 16 years or older. This fee is valid for seven consecutive days.
yose,Yosemite National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Yosemite National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautif"
yose,Yosemite National Park,Commercial Entrance - Mini-bus,200.00,This fee is valid for seven consecutive days. For any nonresident there is an additional fee of $100 per person for anyone 16 years or older. A commercial use authorization is required.
yose,Yosemite National Park,Commercial Entrance - Motor Coach,300.00,This fee is valid for seven consecutive days. For any nonresident there is an additional fee of $100 per person for anyone 16 years or older. A commercial use authorization is required.
zion,Zion National Park,Entrance - Private Vehicle,35.00,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Zion National Park. Valid for 1-7 days."
zion,Zion National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
zion,Zion National Park,Entrance - Snowmobile,20.00,"Admits one individual with no car to Zion National Park. Typically used for bicyclists, hikers and pedestrians. Youth 15 and under are admitted free. Valid for 1-7 days."
zion,Zion National Park,Entrance - Per Person,20.00,"Admits one individual with no car to Zion National Park. Typically used for bicyclists, hikers and pedestrians. Youth 15 and under are admitted free. Valid for 1-7 days."
zion,Zion National Park,Entrance - Non-commercial Groups,20.00,$20 per person. Non-commercial vehicles with a capacity of 16 or greater. Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with 
zion,Zion National Park,Commercial Entrance - Van,70.00,"A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realize"
zion,Zion National Park,Commercial Entrance - Mini-bus,80.00,"A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realize"
zion,Zion National Park,Commercial Entrance - Motor Coach,190.00,"A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realize"
zion,Zion National Park,Commercial Entrance - Per Person,20.00,"A commercial tour is defined as one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial ga"
zion,Zion National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Zion National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful P"
